LATITUD,LONGITUD,ACTIVIDAD,TIPO,FECHA
-7.71255032,-77.63712816,Minería,Clasificación,17/02/2017
-12.2031,-76.912,Electricidad,EIA-d,31/08/2016
-5.2437,-74.3282,Hidrocarburos,ITS,6/12/2016
-15.0532,-75.0562,Electricidad,ITS,3/08/2016
-4.4791,-81.162,Hidrocarburos,ITS,26/10/2018
-6.7658,-78.6297,Minería,ITS,18/06/2018
-11.8096,-72.88,Hidrocarburos,ITS,6/12/2018
-14.2295433,-70.3196724,Minería,ITS,15/11/2017
-14.98482422,-72.31109816,Minería,ITS,10/05/2019
-11.896,-72.8517,Hidrocarburos,ITS,21/03/2019
-10.20644215,-76.96670942,Minería,ITS,4/02/2019
-5.17383413,-80.55471464,Transportes,ITS,6/08/2019
-15.06890465,-71.7471789,Minería,Clasificación,25/03/2019
-12.9412912,-74.79802152,Minería,Clasificación,6/05/2019
-11.18673563,-76.52324721,Minería,ITS,5/06/2019
-15.37769061,-75.01457372,Electricidad,PPC,3/06/2019
-9.54451496,-77.05330294,Minería,ITS,8/07/2019
-16.45616542,-70.31739124,Minería,Clasificación,20/09/2019
-16.5547,-72.3039,Electricidad,ITS,7/07/2016
-11.8591,-72.9402,Hidrocarburos,ITS,8/07/2016
-8.3936,-75.2198,Hidrocarburos,ITS,21/07/2016
-10.44482586,-76.74484375,Minería,Clasificación,9/06/2017
-4.4747,-81.2953,Hidrocarburos,ITS,16/09/2016
-12.6975,-76.5951,Minería,ITS,23/04/2018
-11.9805,-76.8656,Electricidad,Clasificación,8/04/2016
-11.8079,-75.4959,Electricidad,Clasificación,6/05/2016
-15.0581,-75.0515,Electricidad,ITS,19/04/2016
-10.7663,-76.2856,Minería,ITS,10/04/2017
-4.50692855,-81.18751796,Hidrocarburos,ITS,27/10/2017
-3.59901962,-80.73985916,Hidrocarburos,ITS,9/03/2017
-11.59644155,-76.13276867,Minería,ITS,28/04/2017
-11.49420062,-77.27612962,Minería,ITS,12/06/2017
-4.52022958,-81.21173445,Hidrocarburos,ITS,8/06/2017
-7.61210397,-78.20191828,Minería,ITS,10/06/2017
-11.73519681,-72.89122387,Hidrocarburos,ITS,17/03/2017
-13.00621581,-76.3819833,Agricultura,Clasificación,20/03/2019
-4.29463009,-81.21720388,Hidrocarburos,ITS,23/11/2017
-11.8773,-72.9422,Hidrocarburos,MEIA-d,11/02/2016
-4.48062664,-81.16284874,Hidrocarburos,ITS,7/11/2017
-8.56638157,-78.59568743,Agricultura,Clasificación,29/08/2017
-4.55751664,-81.19148859,Electricidad,ITS,8/11/2019
-13.77607194,-76.23162434,Hidrocarburos,ITS,16/01/2020
-12.72351772,-75.07225486,Minería,ITS,31/12/2019
-6.83011186,-78.8986783,Minería,ITS,6/07/2018
-15.27144774,-72.35781806,Minería,ITS,25/07/2018
-6.82124766,-78.88720346,Minería,ITS,22/07/2019
-5.20654696,-81.11903196,Minería,ITS,22/05/2019
-13.15209764,-70.39899865,Transportes,Clasificación,12/09/2020
-13.15209764,-70.39899865,Transportes,Clasificación,14/09/2020
-16.82030385,-70.51375055,Electricidad,Clasificación,10/12/2018
-10.02350048,-76.68010687,Agricultura,Clasificación,5/03/2020
-13.25331979,-73.55360023,Transportes,Clasificación,24/06/2019
-15.1505,-75.0756,Minería,ITS,18/11/2016
-12.7846,-74.9527,Electricidad,Clasificación,9/05/2016
-6.9805174,-78.51516538,Minería,ITS,19/08/2019
-4.33770477,-81.23670977,Hidrocarburos,ITS,7/11/2017
-15.47192546,-71.91102399,Minería,ITS,23/08/2019
-16.5532,-71.5902,Minería,ITS,29/11/2018
-4.28361388,-81.17085359,Hidrocarburos,ITS,15/06/2017
-12.27278464,-76.88952069,Agricultura,Clasificación,22/02/2018
-3.6478432,-81.06450187,Hidrocarburos,ITS,29/03/2019
-10.70727699,-75.8875789,Transportes,Clasificación,3/06/2019
-10.75306818,-75.7632838,Transportes,Clasificación,19/06/2019
-11.6546,-73.0592,Hidrocarburos,ITS,15/03/2018
-15.17721699,-71.83064568,Minería,ITS,31/10/2017
-10.458855,-76.74346984,Minería,Clasificación,9/09/2019
-10.65750133,-76.09179021,Transportes,Clasificación,11/06/2019
-7.71877542,-77.66206078,Minería,ITS,14/10/2019
-5.35948095,-80.99367281,Hidrocarburos,ITS,18/10/2019
-10.96749456,-69.57137146,Transportes,ITS,19/09/2018
-4.27808254,-81.14532234,Hidrocarburos,ITS,30/10/2019
-15.3924,-70.0643,Electricidad,EIA-d,3/02/2016
-14.1004,-71.4344,Electricidad,Clasificación,4/03/2016
-7.94357564,-79.03601737,Residuos Sólidos,ITS,11/03/2019
-13.24466607,-76.29679506,Hidrocarburos,ITS,26/07/2018
-13.14033064,-72.58085565,Electricidad,ITS,18/10/2019
-5.33921969,-81.03101704,Hidrocarburos,ITS,2/03/2020
-11.59769712,-76.17609795,Minería,ITS,9/01/2019
-14.89214738,-70.59636226,Transportes,Clasificación,17/12/2018
-6.28498179,-80.06819479,Agricultura,Clasificación,11/10/2019
-15.05347184,-75.05621473,Electricidad,Clasificación,14/03/2019
-15.40748259,-74.72500859,Agricultura,Clasificación,16/08/2017
-16.64212897,-71.78048138,Electricidad,Clasificación,24/08/2017
-13.77465232,-76.22806521,Hidrocarburos,ITS,12/10/2018
-11.46448235,-73.31433314,Hidrocarburos,ITS,31/12/2018
-5.34591106,-80.98705708,Hidrocarburos,ITS,10/07/2018
-15.1625,-75.0617,Minería,ITS,12/11/2018
-14.0555,-75.6923,Electricidad,Clasificación,8/03/2016
-15.27404788,-75.20848653,Minería,Clasificación,28/09/2017
-6.76675475,-78.63411302,Minería,ITS,28/01/2020
-5.8988517,-78.83737738,Transportes,ITS,26/05/2019
-6.29441556,-77.70731371,Transportes,Clasificación,27/05/2019
-17.09908301,-70.6292903,Minería,ITS,12/04/2019
-17.76055095,-69.81586669,Minería,ITS,3/05/2019
-5.74622971,-77.47876451,Transportes,ITS,8/05/2020
-13.11336116,-70.37537052,Transportes,ITS,26/05/2020
-12.62685157,-73.78659068,Transportes,Clasificación,26/06/2019
-7.7745,-77.5891,Minería,MEIA-d,28/12/2016
-11.69616304,-76.11217599,Electricidad,Clasificación,15/06/2017
-11.38450293,-69.49128764,Transportes,ITS,1/03/2019
-11.101597,-69.56174512,Transportes,ITS,7/03/2019
-5.84332482,-78.23514827,Transportes,ITS,29/01/2019
-11.21758265,-69.54933007,Transportes,ITS,7/03/2019
-11.9856,-77.1015,Electricidad,Clasificación,10/05/2016
-14.682,-73.147,Minería,ITS,14/12/2016
-11.0848,-77.1711,Electricidad,ITS,26/12/2016
-11.0101,-76.41,Minería,ITS,24/11/2016
-16.6699591,-72.29470316,Residuos Sólidos,Clasificación,27/09/2019
-14.944578,-73.25294653,Minería,ITS,23/11/2017
-14.72063189,-73.1811626,Minería,ITS,27/12/2017
-3.6152,-81.0128,Hidrocarburos,ITS,6/04/2018
-4.882,-81.1425,Hidrocarburos,ITS,18/04/2018
-6.9977,-76.728,Electricidad,Clasificación,27/10/2016
-13.5767,-70.4367,Electricidad,ITS,11/05/2016
-13.7791,-76.1745,Minería,ITS,26/04/2016
-11.66495551,-75.78693391,Minería,Clasificación,14/12/2017
-17.2312,-70.86,Electricidad,Clasificación,8/06/2016
-7.89209965,-78.13050296,Minería,MEIA-d,15/02/2017
-11.93047596,-77.00782994,Electricidad,Clasificación,22/12/2016
-6.87826576,-79.79244152,Minería,ITS,23/05/2018
-9.89067892,-76.20433685,Electricidad,Clasificación,28/12/2018
-14.80904508,-71.43007268,Transportes,Clasificación,3/04/2019
-13.11709241,-74.22057003,Electricidad,ITS,27/08/2018
-4.57974246,-81.30185925,Hidrocarburos,ITS,12/03/2020
-10.95418573,-77.47228628,Agricultura,Clasificación,17/07/2018
-14.22957477,-70.32541821,Minería,ITS,2/05/2017
